song_no,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
44,0.433,0.758,2,-5.736,1,0.662,0.0409,2.64E-05,0.102,0.22,87.402,4Uhty1kvytzqhwoLO2CVoi,219429,4
45,0.775,0.707,10,-5.339,0,0.152,0.397,0,0.874,0.78,104.979,3gJDgenxLephg09x86IxPs,244198,4
46,0.649,0.717,4,-5.021,1,0.262,0.0131,3.26E-05,0.18,0.589,86.798,2w9Qq5cflc8Z6BraiDCyes,173793,4
47,0.812,0.628,10,-6.164,0,0.0682,0.0634,0,0.254,0.485,123.004,4PnNzWe1LJoAMD5j5RHpI0,207059,4
48,0.71,0.47,1,-9.33,0,0.142,0.154,0,0.643,0.581,80.027,00GOPLxW4PGQuUYdPJh8K1,180675,4
49,0.862,0.614,5,-5.875,0,0.0393,0.246,0.00757,0.113,0.323,110.061,1nRTH500HbZX8PYwT4ZMby,202667,4
50,0.65,0.711,0,-5.417,1,0.0377,0.0123,0.00943,0.301,0.319,89.019,50iiDJGpAPdr2VTrz999XA,405213,4
51,0.716,0.619,2,-10.227,1,0.339,0.0271,0,0.342,0.584,162.958,0syXbGoFZbTMXm8hGCEvW0,135547,4
52,0.725,0.725,8,-6.067,0,0.159,0.0119,0,0.086,0.515,140.003,3L0IKstjUgDFVQAbQIRZRv,192027,4
53,0.639,0.815,11,-4.962,0,0.252,0.232,0,0.299,0.4,159.903,5kkxyqYSQrnHpfsmkjKi81,243280,4
54,0.238,0.042,3,-32.017,1,0.0491,0.987,0.951,0.0923,0.0988,119.093,0x9sodbyp1KcXAMeX3830s,144000,4
55,0.581,0.429,0,-9.722,1,0.0297,0.0014,4.61E-05,0.121,0.109,119.963,2XVBMKnMHVo4nZPdFIU5bp,208661,4
56,0.582,0.92,10,-2.367,1,0.296,0.0326,0,0.498,0.632,154.697,5QAUGlyYPPnis3e8ln0qiz,153932,4
57,0.602,0.563,1,-15.664,1,0.472,0.155,0,0.0802,0.13,95.21,0Kx0motgon9JUJb8oNl9iG,301974,4
58,0.483,0.841,5,-5.115,0,0.0964,0.0108,2.71E-06,0.382,0.204,114.382,7ItFoQDmQIh3MAPsxiP6Vt,177025,4
59,0.192,0.377,7,-9.157,1,0.0352,0.285,0.813,0.173,0.0976,84.772,72iYfBDEF6dNVeekA8ppyB,117307,4
60,0.648,0.896,2,-4.254,1,0.041,0.00138,0.000819,0.0879,0.468,128.115,14NwRQ6fnnoSfjeaHRZqz1,217107,4
61,0.637,0.658,2,-5.775,1,0.0291,0.00918,0.00229,0.295,0.328,96.072,4L58FgCh0T0WNG0UIqxK4E,264267,4
62,0.521,0.895,7,-5.242,1,0.0442,5.54E-05,0.349,0.0985,0.237,120.117,1T8IRUJBga0JXioJZvxjBR,322340,4
63,0.475,0.816,6,-5.502,1,0.0644,0.0027,0.366,0.332,0.248,130.065,2ZIllZ6evK7wCnul8qylKl,251147,4
64,0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,5siM4eG36axvG3alLNnsAx,272440,4
