,Artist,Title,id
71,Death Grips,Bubbles Buried In This Jungle,1zw1YeQW9VO4KUgvjevHFa
72,flora cash,You're Somebody Else,6iWEhoALoBFnQMNVhYY0Sc
73,flora cash,For Someone,4u42LckHYKddjPpUySqHnJ
74,flora cash,Mother to Child,3OlI9RO07e6H4l8hMi8QqG
75,flora cash,Memories of Us,09zStCx7w4uqigVByP5dji
76,flora cash,When Pleasure Fails,2lvFoilK7HKnTAOfIbA7iZ
77,flora cash,Sadness Is Taking Over,6Eos3ejwtcIinRuYDF1jim
78,flora cash,Nothing Lasts Forever (And It's Fine),2wOV3arHuKLog44jQvONty
79,flora cash,We Will Never Be This Young,0BNmpxxtfAZKa2im1oaIyC
80,flora cash,California,5DqkPFOMg32YFTNGaffQAE
81,Swans,Blind,4W5ZiER2saVe1uo7bNTWbE
82,Oliver Tree,Miracle Man,2PFnwW05Wh0MYkfZxSwfuf
83,Cavetown,Devil Town,0vf2eBw2inhl8y61cYQMv2
84,MyKey,Was It Something I Said,65j65yDSE06CNKAPjsHoJt
85,Cavetown,This Is Home,7s8VgA8OjvwBUuigKzEGBx
86,Cavetown,Lemon Boy,3Yvk0ZLxMlt6ioasvdN6vB
87,Cavetown,Boys Will Be Bugs,6suYoN4gFkanqOBn5yRnJC
88,Cavetown,Talk to Me,3znD2JTezT8ZLkp2pmft2l
89,Current Joys,Blondie,4UkCtBCYh6VMsucGMQZyh9
90,Joji,Like You Do,1MONUudxAjEk76FJvzGhuD
91,Joji,777,6H167kbd8gY2Eewzf14YjD
92,Joji,Afterthought,6zvqq50PL7io0rprbkrYc9
93,Joji,Normal People (feat. rei brown),4UiogCfzKQW98U1GTCivsn
94,Joji,Run,3AkdSFo7quCZ781KCqNK0T
95,Joji,Sanctuary,0rOLFkjY5DSIViVBNnzOuK
96,Joji,High Hopes (feat. Omar Apollo),5dl8x4xLEzZC0f927WBTUG
97,Joji,Gimme Love,0HItcI6qN6Dr4MC3CZryQh
98,Joji,Upgrade,5xNNJKrjobta5ksOpMLYd1
99,Joji,Ew,7xcUWyLh6fIMsYjoVI7NnZ
100,Joji,Tick Tock,5E7p95xh9Ul4vZp4LEoJwi
101,Joji,MODUS,5SjtAe7xzUgHDtNTmt8zS7
102,Steve Lacy,Dark Red,37y7iDayfwm3WXn5BiAoRk
103,Joji,Daylight,6Ed1q0X8oSKSm4IIhiQbYg
104,Kanye West,Drunk and Hot Girls,4Sw4lblE6aXpoOJma6Mlx5
105,Kanye West,Can't Tell Me Nothing,2MIBAmYwiuGoKUlpq9B9sZ
106,Kanye West,We Don't Care,0IW0qaeyxL5Et4UG2MrJKB
107,Kanye West,Spaceship,1ko2NuvWlQdxtNRc8QQzmT
108,Kanye West,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9
109,Kanye West,Graduation Day,7wL7Lb8Q3aYyq6gmRL0PZq
110,Kanye West,Homecoming,2ovQ5MCx91XVjgVWEPfvks
111,Kanye West,Everything I Am,2T8bL4YC49Ska1yl74qcS0
112,Kanye West,Flashing Lights,31I3Rt1bPa2LrE74DdNizO
113,Kanye West,Champion,2aHlRZIGUFThu3eQePm6yI
114,Kanye West,Good Life,14blxrgE0VWAgv5aF2wWmx
115,The Weeknd,Heartless - Vapor Wave Remix,13s4YFYQEnHLJEcdZvLuol
116,AJJ,Bad Bad Things,4s5DywrMqIlGxvKi4WrHwH
117,Oneohtrix Point Never,Andro,7sUoR0Yg7FsD7BpJatAtid
118,Grandaddy,A.M. 180,1tMHDdJEz8MFrkPFgwFACG
119,Alev Lenz,"May the Angels (from ""Dark"")",00YPnIeLnxfTPwT6tmdNR1
120,Agnes Obel,Familiär,4z7N3LUchksm6yMrH2XHA4
121,Dan Deacon,When I Was Done Dying,69L4d5HlE0YOCwWFYVFGoW
122,Teho Teardo,A Quiet Life,5OzrMDf9ec7hm0J9GrovnY
123,Fever Ray,Keep the Streets Empty For Me,6lzwG3ziuwdUsIEnYI1znT
124,Mire Kay,Industry,34IofgNOJWM3LzBLAqXEbK
125,B.B. King,The Thrill Is Gone,3cg0dJfrQB66Qf2YthPb6G
126,Bonaparte,Melody X,5rZRM3Lf4eGsMpCDcOJ87C
127,Soap&Skin,Me And The Devil,5f73EH8020u0znMDJUYTMj
128,Eric Clapton,Riding with the King,618hiI74zBL8UVgAvfmkLj
129,B.B. King,Hummingbird,0j7Z3eMte1THTd7JGeZOPJ
130,Nat King Cole,Orange Colored Sky,6fUDNcmsnnUVyOtEnA9xdC
131,Nat King Cole,Let There Be Love,7AL1pxI9IwHoXs98G0T8cC
132,Nat King Cole,When I Fall In Love - Remastered,0JlHhicC1HetuYgujLD9hO
133,Nat King Cole,L-O-V-E,4QxDOjgpYtQDxxbWPuEJOy
134,Nat King Cole,Unforgettable,648TTtYB0bH0P8Hfy0FmkL
135,Eric Clapton,Autumn Leaves,6bLy8YiVKRpUzwWZG6lVDq
136,Jimmy Durante,"Smile (From United Artists Film ""Modern Times"")",7M18i7KC9A1mTrQVPY9hKy
137,Louis Armstrong,We Have all The Time in the World,4aVz0wlJLCsU92yN5vytyV
138,Roberta Flack,Feel Like Makin' Love,7gkboYtvhuXNS4EUwmFPcw
139,Herb Alpert & The Tijuana Brass,This Guy's In Love With You,7a3g7jILDCvADVN9NQIyYj
140,Louis Armstrong,When You're Smiling (The Whole World Smiles With You) - Without Intro,0aAdPAlrBJqqqkkhttZIKU
141,Roberta Flack,Killing Me Softly with His Song,3gsCAGsWr6pUm1Vy7CPPob
142,Dean Martin,Everybody Loves Somebody,5I9sHwLDX28tLtzVgKLtpr
143,Vera Lynn,We'll Meet Again,6WdcvzQADmrL8nucimUV6r
144,Chet Baker,My Funny Valentine,4l9hml2UCnxoNI3yCdL1BW
145,Paul Anka,Put Your Head on My Shoulder,7eqNATKM78MkWP6aHGXHEV
146,Ella Fitzgerald,Cheek To Cheek,33jt3kYWjQzqn3xyYQ5ZEh
147,Louis Armstrong,A Kiss To Build A Dream On - Single Version,5y8zb3grlQonjdqd27K39T
148,Anupam Roy,Journey Song,7z8XCViP5KT8O7HqoCsRTV
149,Chase Atlantic,Slow Down,5lT5IZWW3JQErXELJpQgJ9
150,Chase Atlantic,Swim,3M0lSi5WW79CXQamgSBIjx
151,Chase Atlantic,Friends,2jQiSYrwJehQAcuaaQrXnS
152,Sickick,Intro (Infected),7a1UiDLvw2yyuRPtANObXb
153,Édith Piaf,La Vie en rose,3lAun9V0YdTlCSIEXPvfsY
154,Sickick,Kill Me Slowly,3ZgC8QbdvmjFSzAbz7DWFl
155,Sickick,Bermuda,5wE12WDUvty3rLhI19CZNF
156,The Polarity,Son of a Beach,7iV8uNMTklVhXPkwZmMNtL
157,Willis,I Think I Like When It Rains,5S5u0EWtlblH00iTNExZ6X
158,Édith Piaf,Milord,0qAtbrY5DNGHtAl1L0CQzS
159,girl in red,4am,4BWJGWmzbjsnA94Weyi5j4
160,FKA twigs,sad day,4KfgBq7SrmjavjQS4ZQGHC
161,Dominic Fike,King of Everything,0lO1yt6M1l1OAs80M3vEfM
162,Post Malone,Wow.,2ve5NyzWHUbIYxL33goCX7
163,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,4VqTRBvYg0z8C4nsl4Hupy
164,Post Malone,Goodbyes (feat. Young Thug),5E1jEFXElio2eOxjJ3WLnk
165,The Weeknd,Valerie,4fLnXd56RsWN4ZBtb9TegQ
166,Aphex Twin,T69 collapse,1vTCJDVG7OiYw7LLmxTzVG
167,Wallows,Nobody Gets Me (Like You),6n3hQsudILw9w3CqDwoO5M
168,Linkin Park,Krwlng (Mike Shinoda Reanimation) [feat. Aaron Lewis],1Hg2egRryMkCdXqXmXki3A
169,Linkin Park,Kyur4 Th Ich (Chairman Hahn Reanimation),53zw51qaLzcX7kOTlUqAqG
170,Linkin Park,Rnw@y (Backyard Bangers Reanimation) [feat. Phoenix Orion],0fpS77hc2BzBG8aFUvH1I9
171,Linkin Park,My<Dsmbr (Mickey P. Reanimation) [feat. Kelli Ali],7pu0pLvgwopOa7lp2OBXep
172,Linkin Park,Wth>You (Chairman Hahn Reanimation) [feat. Aceyalone],75Wz8eZhn2xBHFUGyJgHQP
173,Linkin Park,Ppr:kut (Cheapshot and Jubacca Reanimation) [feat. Rasco and Planet Asia],0HIHiUyybKHO5mHVC2oDb0
174,Linkin Park,X-Ecutioner Style (feat. Black Thought),3iuI6EUfAii8fX9RKaVhuC
175,Julian Casablancas,11th Dimension,6i99ThziImjuFABb8rUQvy
176,Julian Casablancas,"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York",1k4OsQujxXPLij0ZsTFlMx
177,Blur,Eine Kleine Lift Musik,53lAf9NkMQojiF7i9uWGm7
178,Radiohead,Lucky,3PFfoQq1grPcfTSW2eTAJb
179,The Pigeon Detectives,Romantic Type,1YQqbxv6NvivmxPG8mLszw
180,Babe Rainbow,Evolution 1964,4dNrdqaxJWKeW6IMqnwkFw
181,Arijit Singh,Laal Ishq,5OrwxmwjaO9p2iyF8BXyRj
182,Van Morrison,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul
183,Elvis Presley,Funny How Time Slips Away,1Wxc6Mf0dEYXt98cnb6UH6
184,Jeremy Zucker,comethru (bonus track),1pV9TLnQdOHbvourRO7x4m
185,50 Cent,Wanksta,7qyNvzfyTZ4AWUmBwQEylJ
186,Run The Jewels,Close Your Eyes (And Count To Fuck),2Kn3xgaDCM4aHuHK7FApgC
187,Denzel Curry,RICKY,2QbGvQssb0VLLS4x5NOmyJ
188,Linkin Park,Pushing Me Away,7MfJVe7of8qWEMcCwQnAvS
189,Linkin Park,In the End,3tSmXSxaAnU1EPGKa6NytH
190,Linkin Park,Forgotten,5kBkdxl6uRdwtsGTONJa0z
191,Linkin Park,Cure for the Itch,5ZZtBmfSsaIAkx6OZYUWzF
192,Linkin Park,By Myself,0YvLVwdVZlnSjqfetfZcEi
