,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
347,0.46,0.564,9,-10.329,0,0.0343,0.538,0,0.191,0.962,135.178,audio_features,3lWzVNe1yFZlkeBBzUuZYu,spotify:track:3lWzVNe1yFZlkeBBzUuZYu,https://api.spotify.com/v1/tracks/3lWzVNe1yFZlkeBBzUuZYu,https://api.spotify.com/v1/audio-analysis/3lWzVNe1yFZlkeBBzUuZYu,139845,5
348,0.755,0.631,7,-6.128,1,0.0261,0.0638,0,0.0929,0.881,100.026,audio_features,4yJiXq86uM56uIfIZgE440,spotify:track:4yJiXq86uM56uIfIZgE440,https://api.spotify.com/v1/tracks/4yJiXq86uM56uIfIZgE440,https://api.spotify.com/v1/audio-analysis/4yJiXq86uM56uIfIZgE440,200400,4
349,0.906,0.888,2,-7.275,1,0.152,0.182,0,0.934,0.756,105.991,audio_features,7F6oEeRgjOoesYz8qOov7p,spotify:track:7F6oEeRgjOoesYz8qOov7p,https://api.spotify.com/v1/tracks/7F6oEeRgjOoesYz8qOov7p,https://api.spotify.com/v1/audio-analysis/7F6oEeRgjOoesYz8qOov7p,262985,4
350,0.738,0.709,5,-4.87,0,0.238,0.224,0,0.504,0.832,95.945,audio_features,5NLT6uux4omoMlIFlBxRSI,spotify:track:5NLT6uux4omoMlIFlBxRSI,https://api.spotify.com/v1/tracks/5NLT6uux4omoMlIFlBxRSI,https://api.spotify.com/v1/audio-analysis/5NLT6uux4omoMlIFlBxRSI,258837,4
351,0.743,0.508,2,-8.145,1,0.0708,0.0521,0,0.153,0.0548,83.998,audio_features,1tA9cQEtQPvUdcndCUcP9E,spotify:track:1tA9cQEtQPvUdcndCUcP9E,https://api.spotify.com/v1/tracks/1tA9cQEtQPvUdcndCUcP9E,https://api.spotify.com/v1/audio-analysis/1tA9cQEtQPvUdcndCUcP9E,219937,4
352,0.831,0.514,7,-6.695,1,0.0368,0.203,0.000156,0.115,0.397,114.94,audio_features,0NBiC3zLXoBQXBjsbnbwJq,spotify:track:0NBiC3zLXoBQXBjsbnbwJq,https://api.spotify.com/v1/tracks/0NBiC3zLXoBQXBjsbnbwJq,https://api.spotify.com/v1/audio-analysis/0NBiC3zLXoBQXBjsbnbwJq,244340,4
353,0.624,0.876,11,-4.296,1,0.271,0.0129,0,0.166,0.3,170.145,audio_features,67hWtdEgU9X2c8w5OIIIoo,spotify:track:67hWtdEgU9X2c8w5OIIIoo,https://api.spotify.com/v1/tracks/67hWtdEgU9X2c8w5OIIIoo,https://api.spotify.com/v1/audio-analysis/67hWtdEgU9X2c8w5OIIIoo,183680,4
354,0.231,0.877,9,-5.278,1,0.0574,0.000653,0.026,0.0694,0.524,186.142,audio_features,77G0k1La0c5Dw8bAFANcyp,spotify:track:77G0k1La0c5Dw8bAFANcyp,https://api.spotify.com/v1/tracks/77G0k1La0c5Dw8bAFANcyp,https://api.spotify.com/v1/audio-analysis/77G0k1La0c5Dw8bAFANcyp,164165,4
355,0.541,0.483,1,-10.675,0,0.0514,0.351,0.4,0.111,0.641,80.73,audio_features,3ishRxjsqYVk6FdAGeeUAP,spotify:track:3ishRxjsqYVk6FdAGeeUAP,https://api.spotify.com/v1/tracks/3ishRxjsqYVk6FdAGeeUAP,https://api.spotify.com/v1/audio-analysis/3ishRxjsqYVk6FdAGeeUAP,199490,4
356,0.539,0.535,1,-9.717,1,0.0319,0.42,0.632,0.263,0.352,78.885,audio_features,7nEZZ1mWK7h98x8ENbQuqJ,spotify:track:7nEZZ1mWK7h98x8ENbQuqJ,https://api.spotify.com/v1/tracks/7nEZZ1mWK7h98x8ENbQuqJ,https://api.spotify.com/v1/audio-analysis/7nEZZ1mWK7h98x8ENbQuqJ,181678,4
