,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
945,0.486,0.241,4,-17.337,1,0.0366,0.413,3.51e-05,0.0928,0.614,106.574,audio_features,3y4Uza6K58JXQ7RYya8ZI5,spotify:track:3y4Uza6K58JXQ7RYya8ZI5,https://api.spotify.com/v1/tracks/3y4Uza6K58JXQ7RYya8ZI5,https://api.spotify.com/v1/audio-analysis/3y4Uza6K58JXQ7RYya8ZI5,301133,4
946,0.508,0.68,5,-8.354,1,0.0373,0.36,0.0,0.0824,0.792,99.905,audio_features,7tJQ4Ekp2vN3NlI3vJJW3v,spotify:track:7tJQ4Ekp2vN3NlI3vJJW3v,https://api.spotify.com/v1/tracks/7tJQ4Ekp2vN3NlI3vJJW3v,https://api.spotify.com/v1/audio-analysis/7tJQ4Ekp2vN3NlI3vJJW3v,185200,4
947,0.521,0.961,6,-3.277,1,0.129,0.00581,0.000371,0.042,0.365,134.973,audio_features,3kL1eGyxKYipkJoGGjxy0J,spotify:track:3kL1eGyxKYipkJoGGjxy0J,https://api.spotify.com/v1/tracks/3kL1eGyxKYipkJoGGjxy0J,https://api.spotify.com/v1/audio-analysis/3kL1eGyxKYipkJoGGjxy0J,167920,4
948,0.593,0.658,2,-4.957,1,0.0304,0.0038,0.0126,0.0804,0.27,116.021,audio_features,3VzULnaqPKf1deQyZ5W4Ah,spotify:track:3VzULnaqPKf1deQyZ5W4Ah,https://api.spotify.com/v1/tracks/3VzULnaqPKf1deQyZ5W4Ah,https://api.spotify.com/v1/audio-analysis/3VzULnaqPKf1deQyZ5W4Ah,235272,4
949,0.61,0.276,7,-14.702,1,0.033,0.248,0.0,0.1,0.377,108.952,audio_features,3V1EpLi9z0uhupGLvhOH27,spotify:track:3V1EpLi9z0uhupGLvhOH27,https://api.spotify.com/v1/tracks/3V1EpLi9z0uhupGLvhOH27,https://api.spotify.com/v1/audio-analysis/3V1EpLi9z0uhupGLvhOH27,134040,4
950,0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746,audio_features,4uYwlMp841PLJmj1gJJwIq,spotify:track:4uYwlMp841PLJmj1gJJwIq,https://api.spotify.com/v1/tracks/4uYwlMp841PLJmj1gJJwIq,https://api.spotify.com/v1/audio-analysis/4uYwlMp841PLJmj1gJJwIq,197093,4
951,0.453,0.441,0,-12.408,1,0.0556,0.437,1.24e-05,0.147,0.657,78.039,audio_features,0eFtOE1vxjNqn4aOAYDvPg,spotify:track:0eFtOE1vxjNqn4aOAYDvPg,https://api.spotify.com/v1/tracks/0eFtOE1vxjNqn4aOAYDvPg,https://api.spotify.com/v1/audio-analysis/0eFtOE1vxjNqn4aOAYDvPg,360013,4
952,0.295,0.835,4,-5.184,1,0.0413,1.51e-05,0.913,0.342,0.0835,153.914,audio_features,5q6Ue2SuMhMBxFPDP2VWXm,spotify:track:5q6Ue2SuMhMBxFPDP2VWXm,https://api.spotify.com/v1/tracks/5q6Ue2SuMhMBxFPDP2VWXm,https://api.spotify.com/v1/audio-analysis/5q6Ue2SuMhMBxFPDP2VWXm,181600,4
953,0.447,0.836,5,-5.137,1,0.0584,0.0209,0.00399,0.0736,0.177,139.94,audio_features,1FnHpM2zimTALdIvuxFoNM,spotify:track:1FnHpM2zimTALdIvuxFoNM,https://api.spotify.com/v1/tracks/1FnHpM2zimTALdIvuxFoNM,https://api.spotify.com/v1/audio-analysis/1FnHpM2zimTALdIvuxFoNM,362467,3
954,0.449,0.945,3,-6.652,1,0.0858,0.0164,0.914,0.0912,0.155,127.956,audio_features,6hjVajm2JfjhXs803HqqMO,spotify:track:6hjVajm2JfjhXs803HqqMO,https://api.spotify.com/v1/tracks/6hjVajm2JfjhXs803HqqMO,https://api.spotify.com/v1/audio-analysis/6hjVajm2JfjhXs803HqqMO,328813,4
