,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1529,0.557,0.278,8,-12.353,1,0.0427,0.723,2.24E-05,0.0755,0.335,147.681,audio_features,0aKl9lBwUvRUuXvgdT7Pgj,spotify:track:0aKl9lBwUvRUuXvgdT7Pgj,https://api.spotify.com/v1/tracks/0aKl9lBwUvRUuXvgdT7Pgj,https://api.spotify.com/v1/audio-analysis/0aKl9lBwUvRUuXvgdT7Pgj,197600,4
1530,0.277,0.146,7,-11.845,1,0.037,0.918,0.0513,0.11,0.0394,113.856,audio_features,2X01OHYkSP7t7jXyAULmbZ,spotify:track:2X01OHYkSP7t7jXyAULmbZ,https://api.spotify.com/v1/tracks/2X01OHYkSP7t7jXyAULmbZ,https://api.spotify.com/v1/audio-analysis/2X01OHYkSP7t7jXyAULmbZ,213273,4
1531,0.41,0.512,0,-6.525,1,0.0318,0.0158,0.219,0.104,0.0853,139.863,audio_features,5mFmSEcgqeFiT5SbiKeiFc,spotify:track:5mFmSEcgqeFiT5SbiKeiFc,https://api.spotify.com/v1/tracks/5mFmSEcgqeFiT5SbiKeiFc,https://api.spotify.com/v1/audio-analysis/5mFmSEcgqeFiT5SbiKeiFc,252015,3
1532,0.36,0.223,2,-19.5,1,0.0337,0.841,0.727,0.0947,0.0519,99.75,audio_features,0KalsY81HsAAVUxZy9qUFz,spotify:track:0KalsY81HsAAVUxZy9qUFz,https://api.spotify.com/v1/tracks/0KalsY81HsAAVUxZy9qUFz,https://api.spotify.com/v1/audio-analysis/0KalsY81HsAAVUxZy9qUFz,231925,4
1533,0.492,0.841,0,-9.181,0,0.0904,0.729,0.00027,0.101,0.313,177.869,audio_features,4FwaJmXeZxr1096KItcUQq,spotify:track:4FwaJmXeZxr1096KItcUQq,https://api.spotify.com/v1/tracks/4FwaJmXeZxr1096KItcUQq,https://api.spotify.com/v1/audio-analysis/4FwaJmXeZxr1096KItcUQq,194907,4
1534,0.242,0.137,2,-16.332,0,0.0322,0.901,0.0105,0.167,0.0644,92.454,audio_features,4THgqBGsTYJcNcQWCV92AP,spotify:track:4THgqBGsTYJcNcQWCV92AP,https://api.spotify.com/v1/tracks/4THgqBGsTYJcNcQWCV92AP,https://api.spotify.com/v1/audio-analysis/4THgqBGsTYJcNcQWCV92AP,229560,3
1535,0.314,0.959,4,-4.657,0,0.0908,0.0263,0.000148,0.161,0.492,154.221,audio_features,2V0T2LS0pf2r3EFpOEkZFO,spotify:track:2V0T2LS0pf2r3EFpOEkZFO,https://api.spotify.com/v1/tracks/2V0T2LS0pf2r3EFpOEkZFO,https://api.spotify.com/v1/audio-analysis/2V0T2LS0pf2r3EFpOEkZFO,309640,4
1536,0.277,0.67,6,-9.381,1,0.0376,6.28E-05,0.751,0.237,0.217,148.342,audio_features,7bu0znpSbTks0O6I98ij0W,spotify:track:7bu0znpSbTks0O6I98ij0W,https://api.spotify.com/v1/tracks/7bu0znpSbTks0O6I98ij0W,https://api.spotify.com/v1/audio-analysis/7bu0znpSbTks0O6I98ij0W,254627,4
1537,0.445,0.955,8,-8.027,1,0.0856,0.0326,0.284,0.317,0.336,123.343,audio_features,5NIPsWpDjJTFBoPxCUUeXp,spotify:track:5NIPsWpDjJTFBoPxCUUeXp,https://api.spotify.com/v1/tracks/5NIPsWpDjJTFBoPxCUUeXp,https://api.spotify.com/v1/audio-analysis/5NIPsWpDjJTFBoPxCUUeXp,273600,4
1538,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880,4
1539,0.707,0.771,11,-4.371,1,0.0821,0.0342,1.79E-06,0.0684,0.609,94.035,audio_features,7vSm2hckpPHTrIHpqmqOze,spotify:track:7vSm2hckpPHTrIHpqmqOze,https://api.spotify.com/v1/tracks/7vSm2hckpPHTrIHpqmqOze,https://api.spotify.com/v1/audio-analysis/7vSm2hckpPHTrIHpqmqOze,200720,4
1540,0.547,0.6,10,-7.546,0,0.351,0.211,0,0.145,0.49,89.041,audio_features,6D53lwtCp4kY6B7aZGkOxB,spotify:track:6D53lwtCp4kY6B7aZGkOxB,https://api.spotify.com/v1/tracks/6D53lwtCp4kY6B7aZGkOxB,https://api.spotify.com/v1/audio-analysis/6D53lwtCp4kY6B7aZGkOxB,289147,4
1541,0.801,0.501,0,-6.364,1,0.269,0.188,0,0.0211,0.902,140.077,audio_features,6PlrGEPaisOqBiDlwW6Ic0,spotify:track:6PlrGEPaisOqBiDlwW6Ic0,https://api.spotify.com/v1/tracks/6PlrGEPaisOqBiDlwW6Ic0,https://api.spotify.com/v1/audio-analysis/6PlrGEPaisOqBiDlwW6Ic0,190746,4
1542,0.595,0.419,2,-8.122,0,0.276,0.694,0,0.12,0.33,120.14,audio_features,2ZbvTTHaZIYu9XhnRO44mr,spotify:track:2ZbvTTHaZIYu9XhnRO44mr,https://api.spotify.com/v1/tracks/2ZbvTTHaZIYu9XhnRO44mr,https://api.spotify.com/v1/audio-analysis/2ZbvTTHaZIYu9XhnRO44mr,232240,4
1543,0.723,0.43,8,-9.08,0,0.0569,0.464,0,0.112,0.332,114.94,audio_features,2m1JKNrEQA37VibuKSMJEH,spotify:track:2m1JKNrEQA37VibuKSMJEH,https://api.spotify.com/v1/tracks/2m1JKNrEQA37VibuKSMJEH,https://api.spotify.com/v1/audio-analysis/2m1JKNrEQA37VibuKSMJEH,224240,4
1544,0.482,0.714,0,-7.689,0,0.0518,0.204,0.000239,0.0973,0.536,82.019,audio_features,3myKrRi0ZXU9pRfGgpUCTj,spotify:track:3myKrRi0ZXU9pRfGgpUCTj,https://api.spotify.com/v1/tracks/3myKrRi0ZXU9pRfGgpUCTj,https://api.spotify.com/v1/audio-analysis/3myKrRi0ZXU9pRfGgpUCTj,165040,4
1545,0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,audio_features,7e4KQkp5ZR1gXCAalRjX6B,spotify:track:7e4KQkp5ZR1gXCAalRjX6B,https://api.spotify.com/v1/tracks/7e4KQkp5ZR1gXCAalRjX6B,https://api.spotify.com/v1/audio-analysis/7e4KQkp5ZR1gXCAalRjX6B,201788,4
1546,0.617,0.567,0,-4.188,1,0.0828,0.0584,0,0.0933,0.505,90.246,audio_features,0SuLAslEMFZAXf0SwY7syi,spotify:track:0SuLAslEMFZAXf0SwY7syi,https://api.spotify.com/v1/tracks/0SuLAslEMFZAXf0SwY7syi,https://api.spotify.com/v1/audio-analysis/0SuLAslEMFZAXf0SwY7syi,217603,4
1547,0.509,0.481,0,-6.778,1,0.0289,0.142,1.15E-06,0.102,0.295,79.086,audio_features,6r64PMqq9VxnT0Xr3439uH,spotify:track:6r64PMqq9VxnT0Xr3439uH,https://api.spotify.com/v1/tracks/6r64PMqq9VxnT0Xr3439uH,https://api.spotify.com/v1/audio-analysis/6r64PMqq9VxnT0Xr3439uH,305093,3
1548,0.592,0.545,0,-11.139,1,0.0521,0.877,0.0798,0.155,0.515,180.028,audio_features,15cflDd73jN6Uhz6uWIYkL,spotify:track:15cflDd73jN6Uhz6uWIYkL,https://api.spotify.com/v1/tracks/15cflDd73jN6Uhz6uWIYkL,https://api.spotify.com/v1/audio-analysis/15cflDd73jN6Uhz6uWIYkL,231773,3
1549,0.584,0.833,2,-6.748,1,0.0591,0.289,0.408,0.567,0.846,130.2,audio_features,1IFvAIyjMiCWWMIB807vRP,spotify:track:1IFvAIyjMiCWWMIB807vRP,https://api.spotify.com/v1/tracks/1IFvAIyjMiCWWMIB807vRP,https://api.spotify.com/v1/audio-analysis/1IFvAIyjMiCWWMIB807vRP,225467,4
1550,0.744,0.692,2,-7.273,1,0.0375,0.00617,0.00549,0.0653,0.746,122.992,audio_features,6ImpVOOzNrrzi5k6HiVSIk,spotify:track:6ImpVOOzNrrzi5k6HiVSIk,https://api.spotify.com/v1/tracks/6ImpVOOzNrrzi5k6HiVSIk,https://api.spotify.com/v1/audio-analysis/6ImpVOOzNrrzi5k6HiVSIk,231413,4
1551,0.71,0.888,2,-6.457,1,0.235,0.0591,0,0.134,0.816,170.193,audio_features,25F6MWrnFBCXVnpN4n76EK,spotify:track:25F6MWrnFBCXVnpN4n76EK,https://api.spotify.com/v1/tracks/25F6MWrnFBCXVnpN4n76EK,https://api.spotify.com/v1/audio-analysis/25F6MWrnFBCXVnpN4n76EK,225987,4
1552,0.644,0.609,11,-6.442,1,0.0284,0.168,0.00971,0.225,0.237,107.022,audio_features,40rO5T5aZa0MlgzCetTRTn,spotify:track:40rO5T5aZa0MlgzCetTRTn,https://api.spotify.com/v1/tracks/40rO5T5aZa0MlgzCetTRTn,https://api.spotify.com/v1/audio-analysis/40rO5T5aZa0MlgzCetTRTn,202600,4
1553,0.706,0.674,9,-5.932,1,0.044,0.3,0,0.202,0.359,83.001,audio_features,3sqRODOZ1Z6hR4F2tnFAlg,spotify:track:3sqRODOZ1Z6hR4F2tnFAlg,https://api.spotify.com/v1/tracks/3sqRODOZ1Z6hR4F2tnFAlg,https://api.spotify.com/v1/audio-analysis/3sqRODOZ1Z6hR4F2tnFAlg,179326,4
1554,0.326,0.226,10,-7.647,1,0.0294,0.914,0,0.132,0.242,171.037,audio_features,6in5L6PUrNbWXANgTadrQC,spotify:track:6in5L6PUrNbWXANgTadrQC,https://api.spotify.com/v1/tracks/6in5L6PUrNbWXANgTadrQC,https://api.spotify.com/v1/audio-analysis/6in5L6PUrNbWXANgTadrQC,204326,3
1555,0.575,0.33,7,-6.557,1,0.031,0.416,0,0.0872,0.277,95.801,audio_features,6QfS2wq5sSC1xAJCQsTSlj,spotify:track:6QfS2wq5sSC1xAJCQsTSlj,https://api.spotify.com/v1/tracks/6QfS2wq5sSC1xAJCQsTSlj,https://api.spotify.com/v1/audio-analysis/6QfS2wq5sSC1xAJCQsTSlj,217213,4
1556,0.736,0.449,10,-7.956,0,0.0633,0.506,6.63E-05,0.117,0.487,147.971,audio_features,4aSfgWmRa9KsISD4Jmx7QB,spotify:track:4aSfgWmRa9KsISD4Jmx7QB,https://api.spotify.com/v1/tracks/4aSfgWmRa9KsISD4Jmx7QB,https://api.spotify.com/v1/audio-analysis/4aSfgWmRa9KsISD4Jmx7QB,202280,4
1557,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04E-05,0.114,0.315,144.871,audio_features,6y6jbcPG4Yn3Du4moXaenr,spotify:track:6y6jbcPG4Yn3Du4moXaenr,https://api.spotify.com/v1/tracks/6y6jbcPG4Yn3Du4moXaenr,https://api.spotify.com/v1/audio-analysis/6y6jbcPG4Yn3Du4moXaenr,245172,4
1558,0.686,0.172,1,-8.722,1,0.0329,0.839,1.81E-05,0.0793,0.197,112.655,audio_features,5dB00dkUFlruwbxVmdOPSE,spotify:track:5dB00dkUFlruwbxVmdOPSE,https://api.spotify.com/v1/tracks/5dB00dkUFlruwbxVmdOPSE,https://api.spotify.com/v1/audio-analysis/5dB00dkUFlruwbxVmdOPSE,260004,4
1559,0.438,0.94,2,-3.249,1,0.0452,8.74E-05,0.0777,0.3,0.421,100.99,audio_features,4iG2gAwKXsOcijVaVXzRPW,spotify:track:4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/tracks/4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/audio-analysis/4iG2gAwKXsOcijVaVXzRPW,261000,3
1560,0.615,0.798,10,-4.163,0,0.0815,0.0188,0.0081,0.0995,0.753,88.465,audio_features,1uqU0nq6DCbJMktSlUvQV8,spotify:track:1uqU0nq6DCbJMktSlUvQV8,https://api.spotify.com/v1/tracks/1uqU0nq6DCbJMktSlUvQV8,https://api.spotify.com/v1/audio-analysis/1uqU0nq6DCbJMktSlUvQV8,181133,4
1561,0.512,0.817,7,-3.154,1,0.142,0.0505,0,0.0775,0.552,154.607,audio_features,3ItzRpwvKtkDSNdRSjXu7Z,spotify:track:3ItzRpwvKtkDSNdRSjXu7Z,https://api.spotify.com/v1/tracks/3ItzRpwvKtkDSNdRSjXu7Z,https://api.spotify.com/v1/audio-analysis/3ItzRpwvKtkDSNdRSjXu7Z,215173,4
